DC_DIST,SECTOR,DISPATCH_DATE_TIME,DISPATCH_DATE,DISPATCH_TIME,HOUR,DC_KEY,LOCATION_BLOCK,UCR_GENERAL,OBJECTID,TEXT_GENERAL_CODE,POINT_X,POINT_Y,SHAPE
14,N,2010-05-05 11:34:00,2010-05-05,11:34:00,,199814043321,300 BLOCK E CLIVEDEN ST,300,28762340,Robbery No Firearm,-75.17719991,40.05271235,28709353
19,A,2010-03-31 12:47:00,2010-03-31,12:47:00,,199819107021,6000 BLOCK HAVERFORD AVE,600,28744001,Thefts,-75.24016093,39.97049921,28691014
22,1,2014-09-14 16:00:00,2014-09-14,16:00:00,,199822061421,1800 BLOCK W MONTGOMERY,100,28746437,Homicide - Criminal,-75.15680322,39.98804051,28693450
35,E,2007-10-15 17:37:00,2007-10-15,17:37:00,,199835141918,5200 BLOCK N WARNOCK ST,700,28744529,Recovered Stolen Motor Vehicle,-75.13980196,40.03251327,28691542
19,L,2007-08-13 07:40:00,2007-08-13,07:40:00,,200019071546,0 BLOCK N.62ND ST,600,28744914,Theft from Vehicle,-75.24475668,39.96251411,28691927
08,I,2011-08-04 12:49:00,2011-08-04,12:49:00,,200308013209,3600 BLOCK RED LION RD,600,28887822,Thefts,-74.98617548,40.07512721,28834835
39,U,2011-09-16 06:16:00,2011-09-16,06:16:00,,200339017635,5000 BLOCK GERMANTOWN AVE,600,28882364,Thefts,-75.16550865,40.03020844,28829377
02,N,2011-08-03 12:43:00,2011-08-03,12:43:00,,200402017356,1000 BLOCK ROSALIE ST,600,28741847,Theft from Vehicle,-75.08967062,40.03553244,28688860
15,M,2007-09-10 07:32:00,2007-09-10,07:32:00,,200415033371,6500 BLOCK MARSDEN ST,700,28785392,Recovered Stolen Motor Vehicle,-75.04922408,40.02360564,28732405
15,I,2011-08-05 12:57:00,2011-08-05,12:57:00,,200415041394,2100 BLOCK BETTS ST,600,28883985,Thefts,-75.06823414,40.0131849,28830998
25,D,2007-11-06 13:36:00,2007-11-06,13:36:00,,200425070027,4700 BLOCK D ST,700,28749345,Recovered Stolen Motor Vehicle,-75.11607269,40.02194725,28696358
35,H,2008-04-14 08:36:00,2008-04-14,08:36:00,,200435009687,900 BLOCK W LOUDEN ST,700,28272407,Recovered Stolen Motor Vehicle,-75.13906269,40.02501512,28219420
